year,Masonry Materials,Metals,Organics,Paper&Cardboard,Plastics,Glass,Textiles-Leather-Rubber,Hazardous Waste,Ash from Coal-Fired-Pwr
2016-17,20.2,5.9,13.8,5.6,2.6,1.0,0.8,6.5,12.2,
2017-18,22.1,6.6,14.6,6.0,2.5,1.2,0.8,7.9,12.3,
2018-19,22.7,6.6,15.3,5.9,2.5,1.2,0.8,8.0,12.5
